strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	authors
France/ARA10163/2020	EPI_ISL_418418	?	Centre Hospitalier Saint Joseph Saint Luc	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10165/2020	EPI_ISL_418419	?	Centre Hospitalier Saint Joseph Saint Luc	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10170/2020	EPI_ISL_418420	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10172/2020	EPI_ISL_418421	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10184/2020	EPI_ISL_418422	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10188/2020	EPI_ISL_418423	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10189/2020	EPI_ISL_418424	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10192/2020	EPI_ISL_418425	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10251/2020	EPI_ISL_418426	?	Centre Hospitalier de Bourg en Bresse	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10257/2020	EPI_ISL_418427	?	Hopital Privé de l'Est Lyonnais	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10282/2020	EPI_ISL_418428	?	Centre Hospitalier Lucien Hussel	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10552/2020	EPI_ISL_419168	?	Centre Hospitalier de Valence	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10876/2020	EPI_ISL_418429	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10910/2020	EPI_ISL_418430	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA10968/2020	EPI_ISL_418431	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11036/2020	EPI_ISL_418432	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11939/2020	EPI_ISL_419169	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11943/2020	EPI_ISL_419170	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11949/2020	EPI_ISL_419171	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11950/2020	EPI_ISL_419172	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11952/2020	EPI_ISL_419173	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11980/2020	EPI_ISL_419174	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11995/2020	EPI_ISL_419175	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA11997/2020	EPI_ISL_419176	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12125/2020	EPI_ISL_419177	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12217/2020	EPI_ISL_419178	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12222/2020	EPI_ISL_419179	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12238/2020	EPI_ISL_419180	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12249/2020	EPI_ISL_419181	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12250/2020	EPI_ISL_419182	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12253/2020	EPI_ISL_419183	?	Centre Hospitalier de Bourg en Bresse	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12260/2020	EPI_ISL_419184	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12264/2020	EPI_ISL_419185	?	Centre Hospitalier de Bourg en Bresse	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12265/2020	EPI_ISL_419186	?	Centre Hospitalier de Bourg en Bresse	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12269/2020	EPI_ISL_419187	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12270/2020	EPI_ISL_419188	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12371/2020	EPI_ISL_420604	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12384/2020	EPI_ISL_420605	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12388/2020	EPI_ISL_420606	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12485/2020	EPI_ISL_420607	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12499/2020	EPI_ISL_420608	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12524/2020	EPI_ISL_420609	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12558/2020	EPI_ISL_420610	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12576/2020	EPI_ISL_420611	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12626/2020	EPI_ISL_420612	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12630/2020	EPI_ISL_420613	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12632/2020	EPI_ISL_420614	?	Centre Hospitalier de Macon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12759/2020	EPI_ISL_420615	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA1284/2020	EPI_ISL_420616	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12877/2020	EPI_ISL_420617	?	Centre Hospitalier Saint Joseph Saint Luc	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12915/2020	EPI_ISL_420618	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12973/2020	EPI_ISL_420619	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA12996/2020	EPI_ISL_420620	?	Centre Hospitalier de Bourg en Bresse	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA1307/2020	EPI_ISL_420621	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA13074/2020	EPI_ISL_420622	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA13095/2020	EPI_ISL_420623	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA13160/2020	EPI_ISL_420624	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/ARA1322/2020	EPI_ISL_420625	?	Institut des Agents Infectieux (IAI), Hospices Civils de Lyon	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/B1623/2020	EPI_ISL_418219	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B2330/2020	EPI_ISL_416502	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B2334/2020	EPI_ISL_416503	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B2335/2020	EPI_ISL_416504	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B2336/2020	EPI_ISL_416505	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B2337/2020	EPI_ISL_416506	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B2340/2020	EPI_ISL_416507	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B2343/2020	EPI_ISL_416508	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B2344/2020	EPI_ISL_416509	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B2346/2020	EPI_ISL_416510	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B2348/2020	EPI_ISL_416511	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B2349/2020	EPI_ISL_416512	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B2351/2020	EPI_ISL_416513	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5310/2020	EPI_ISL_443265	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5322/2020	EPI_ISL_443266	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5325/2020	EPI_ISL_443267	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5336/2020	EPI_ISL_443268	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5344/2020	EPI_ISL_443269	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5353/2020	EPI_ISL_443270	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5355/2020	EPI_ISL_443271	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5359/2020	EPI_ISL_443272	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5363/2020	EPI_ISL_443273	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5374/2020	EPI_ISL_443274	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5397/2020	EPI_ISL_443275	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5400/2020	EPI_ISL_443276	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5413/2020	EPI_ISL_443277	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5415/2020	EPI_ISL_443278	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5434/2020	EPI_ISL_443279	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5447/2020	EPI_ISL_443280	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5456/2020	EPI_ISL_443281	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5458/2020	EPI_ISL_443282	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5465/2020	EPI_ISL_443283	?	CHU - Hôpital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5678/2020	EPI_ISL_443289	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5681/2020	EPI_ISL_443290	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5685/2020	EPI_ISL_443291	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5687/2020	EPI_ISL_443292	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5688/2020	EPI_ISL_443293	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B5689/2020	EPI_ISL_443294	?	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/B6041/2020	EPI_ISL_443313	?	Cabinet Médical	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/BFC2094/2020	EPI_ISL_415651	?	Unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/BFC2147/2020	EPI_ISL_415652	?	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/BFC2709/2020	EPI_ISL_420038	?	Sentinelles network	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/BFC5011/2020	EPI_ISL_443261	?	CHU de Dijon - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/BFC5012/2020	EPI_ISL_443262	?	CHU de Dijon - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/BFC5017/2020	EPI_ISL_443263	?	CHU de Dijon - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/BFC5019/2020	EPI_ISL_443264	?	CHU de Dijon - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/BFC6053/2020	EPI_ISL_443307	?	La Villa Papyri	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/Bourg-en-Bresse_06678/2020	EPI_ISL_416757	?	Centre Hospitalier de Bourg en Bresse	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Bourg-en-Bresse_06813/2020	EPI_ISL_417340	?	Centre Hospitalier de Bourg en Bresse	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
France/CIBU-200634/2020	EPI_ISL_430846	?	General Intensive Care Unit, Raymond Poincaré Hospital (AP-HP), Lab Inflammation & Infection, U1173 University Paris Saclay-UVSQ/INSERM, Garches, France.	Institut Pasteur, Laboratory for Urgent Response to biological Threats	Annane Djillali et al
France/CIBU200107/2020	EPI_ISL_437689	?	Laboratory for Urgent Response to Biological Threats	Institut Pasteur CIBU / ERI	V. Caro et al
France/CIBU200132/2020	EPI_ISL_437690	?	Laboratory for Urgent Response to Biological Threats	Institut Pasteur CIBU /ERI	V. Caro et al
France/CVL2000/2020	EPI_ISL_418222	?	CHRU Bretonneau - Serv. Bacterio-Virol.	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/CVL3365/2020	EPI_ISL_421514	?	Sentinelles network	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/CVL4430/2020	EPI_ISL_443312	?	Cabinet Médical	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/Clermont-Ferrand_650/2020	EPI_ISL_416752	?	CHU Gabriel Montpied	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/Clermont-Ferrand_651/2020	EPI_ISL_416751	?	CHU Gabriel Montpied	CNR Virus des Infections Respiratoires - France SUD	Bal et al
France/GE1583/2020	EPI_ISL_414623	?	Laboratoire de Virologie Institut de Virologie - INSERM U 1109 Hôpitaux Universitaires de Strasbourg	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/GE1973/2020	EPI_ISL_414631	?	Hôpital Robert Debré Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/GE1977/2020	EPI_ISL_414632	?	Hôpital Robert Debré Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/GE2720/2020	EPI_ISL_420039	?	L'Air du Temps	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/GE2722/2020	EPI_ISL_420040	?	L'Air du Temps	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/GE2843/2020	EPI_ISL_420045	?	Sentinelles network	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/GE3067/2020	EPI_ISL_420055	?	Sentinelles network	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/GE3372/2020	EPI_ISL_428348	?	Maison de Santé du Val d'Ormois	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/GE4420/2020	EPI_ISL_443310	?	Centre de santé Filieris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/GE6058/2020	EPI_ISL_443308	?	Plaisance	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1463/2020	EPI_ISL_429968	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1645/2020	EPI_ISL_418220	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1684/2020	EPI_ISL_414626	?	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1795/2020	EPI_ISL_414627	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1805/2020	EPI_ISL_414628	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1813/2020	EPI_ISL_418221	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1870/2020	EPI_ISL_414629	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1871/2020	EPI_ISL_414630	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1986/2020	EPI_ISL_414634	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1988/2020	EPI_ISL_414635	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1989/2020	EPI_ISL_414636	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1993/2020	EPI_ISL_414637	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF1995/2020	EPI_ISL_414638	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2039/2020	EPI_ISL_415649	?	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2060/2020	EPI_ISL_418223	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2150/2020	EPI_ISL_418224	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2151/2020	EPI_ISL_415653	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2155/2020	EPI_ISL_418225	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2174/2020	EPI_ISL_415654	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2196/2020	EPI_ISL_416493	?	CH Jean de Navarre Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2234/2020	EPI_ISL_416495	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2237/2020	EPI_ISL_416496	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2239/2020	EPI_ISL_416497	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2306/2020	EPI_ISL_421500	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2381/2020	EPI_ISL_418226	?	EHPAD - Résidences les Cèdres	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2393/2020	EPI_ISL_418227	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2405/2020	EPI_ISL_418228	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2496/2020	EPI_ISL_418231	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2586/2020	EPI_ISL_418236	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2595/2020	EPI_ISL_418237	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2597/2020	EPI_ISL_418238	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2601/2020	EPI_ISL_418239	?	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2748/2020	EPI_ISL_420041	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2797/2020	EPI_ISL_420044	?	CH Jean de Navarre Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2946/2020	EPI_ISL_420049	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF2948/2020	EPI_ISL_420050	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF3036/2020	EPI_ISL_420053	?	CH Jean de Navarre Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF3138/2020	EPI_ISL_420056	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF3141/2020	EPI_ISL_420057	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF3290/2020	EPI_ISL_421509	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
France/HF3293/2020	EPI_ISL_421510	?	CH Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al
