strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	authors
Portugal/PT0300/2020	EPI_ISL_454016	?	unknown	Instituto Nacional de Saude (INSA)	Borges et al et al
Portugal/PT0358/2020	EPI_ISL_454074	?	unknown	Instituto Nacional de Saude (INSA)	Borges et al et al
Portugal/PT0391a/2020	EPI_ISL_454110	?	unknown	Instituto Nacional de Saude (INSA)	Borges et al et al
Portugal/PT0405/2020	EPI_ISL_454129	?	unknown	Instituto Nacional de Saude (INSA)	Borges et al et al
Portugal/PT0549/2020	EPI_ISL_455627	?	unknown	Instituto Nacional de Saude (INSA)	Borges et al et al
Russia/Moscow-71604/2020	EPI_ISL_428876	?	State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms	State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms	Sergey A. Bodnev et al
Russia/Moscow-80402/2020	EPI_ISL_428905	?	State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms	State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms	Sergey A. Bodnev et al
Russia/StPetersburg-64304/2020	EPI_ISL_428868	?	State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms	State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms	Oleg V. Pyankov et al
Russia/StPetersburg-RII3992/2020	EPI_ISL_420080	?	WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
Russia/StPetersburg-RII4326S/2020	EPI_ISL_427337	?	WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
Russia/StPetersburg-RII4936S/2020	EPI_ISL_430071	?	WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
Scotland/CVR01/2020	EPI_ISL_413221	?	West of Scotland Specialist Virology Centre, NHSGGC	MRC-University of Glasgow Centre for Virus Research	Emma Thomson et al
Scotland/CVR18/2020	EPI_ISL_425720	?	West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research	COVID-19 Genomics UK (COG-UK) Consortium	Ana da Silva Filipe et al
Senegal/003/2020	EPI_ISL_418206	?	Institut Pasteur Dakar	Institut Pasteur de Dakar	Ndongo Dia et al
Senegal/016/2020	EPI_ISL_418207	?	Institut Pasteur Dakar	Institut Pasteur de Dakar	Ndongo Dia et al
Senegal/026/2020	EPI_ISL_418209	?	Institut Pasteur Dakar	Institut Pasteur de Dakar	Ndongo Dia et al
Senegal/328/2020	EPI_ISL_420071	?	Institut Pasteur Dakar	Institut Pasteur de Dakar	Ndongo Dia et al
Senegal/382/2020	EPI_ISL_420073	?	Institut Pasteur Dakar	Institut Pasteur de Dakar	Ndongo Dia et al
Senegal/611/2020	EPI_ISL_420076	?	Institut Pasteur Dakar	Institut Pasteur de Dakar	Ndongo Dia et al
Singapore/27/2020	EPI_ISL_420104	?	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson et al
Singapore/4/2020	EPI_ISL_410535	?	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson et al
Slovakia/SK-BMC5/2020	EPI_ISL_417879	?	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Public Health Authority of the Slovak Republic, Bratislava	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Comenius University Science Park, Bratislava	Monika Slávikova et al
Spain/Alicante569/2020	EPI_ISL_447500	?	Servicio de Microbiologia. Hospital Clinico Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Maria Alma Bracho et al
Spain/COV000691/2020	EPI_ISL_452773	?	Hospital Universitario Araba. Vitoria-Gasteiz,	SeqCOVID-SPAIN consortium/IBV(CSIC)	Silvia Hernáez Crespo et al
Spain/COV000859/2020	EPI_ISL_452693	?	Hospital Universitario Araba. Vitoria-Gasteiz,	SeqCOVID-SPAIN consortium/IBV(CSIC)	Silvia Hernáez Crespo et al
Spain/Valencia105/2020	EPI_ISL_436200	?	Servicio de Microbiología. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Neris Garcia-Gonzalez et al
Spain/Valencia25/2020	EPI_ISL_419689	?	Servicio de Microbiología. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Neris Garcia-Gonzalez et al
SriLanka/COV53/2020	EPI_ISL_428671	?	Centre for Dengue Research	Centre for Dengue Research	Chandima Jeewandara et al
Sweden/20-06468/2020	EPI_ISL_434655	?	Uppsala Narakut Aleris	The Public Health Agency of Sweden	Annika Nilsson et al
Sweden/20-08101/2020	EPI_ISL_454472	?	Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Anna-Malin Linde et al
Sweden/20-08104/2020	EPI_ISL_454475	?	Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Anna-Malin Linde et al
Sweden/20-50055/2020	EPI_ISL_454870	?	Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Anna-Malin Linde et al
Sweden/20-50107/2020	EPI_ISL_454881	?	Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Anna-Malin Linde et al
Sweden/20-50230/2020	EPI_ISL_429155	?	Klinisk mikrobiologi Orebro	The Public Health Agency of Sweden	Martin Sundqvist et al
Switzerland/1000477102/2020	EPI_ISL_413019	?	Department of Internal Medicine, Triemli Hospital	Institute of Medical Virology, University of Zurich	Stefan Schmutz et al
Switzerland/1000477796/2020	EPI_ISL_413022	?	Division of Infectious Diseases, University Hospital Zurich	Institute of Medical Virology, University of Zurich	Stefan Schmutz et al
Switzerland/1000477797/2020	EPI_ISL_413023	?	Division of Infectious Diseases, University Hospital Zurich	Institute of Medical Virology, University of Zurich	Stefan Schmutz et al
Switzerland/100075/2020	EPI_ISL_451668	?	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
Switzerland/100081/2020	EPI_ISL_451673	?	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
